instant,dteday,weathersit,temp,atemp,hum,windspeed,cnt,month,day,year,day of week,quarter,days passed,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Weekend
44,2/1/2011,1,0.3,0.2727,0.39,0.3582,22,1,2,2011,7,1,1,0,0,0,0,0,0,1
45,2/1/2011,1,0.26,0.2273,0.44,0.3284,31,1,2,2011,7,1,1,0,0,0,0,0,0,1
46,2/1/2011,1,0.24,0.2121,0.44,0.2985,9,1,2,2011,7,1,1,0,0,0,0,0,0,1
47,2/1/2011,1,0.22,0.2273,0.47,0.1642,8,1,2,2011,7,1,1,0,0,0,0,0,0,1
48,3/1/2011,1,0.22,0.197,0.44,0.3582,5,1,3,2011,1,1,2,1,0,0,0,0,0,0
49,3/1/2011,1,0.2,0.1667,0.44,0.4179,2,1,3,2011,1,1,2,1,0,0,0,0,0,0
50,3/1/2011,1,0.16,0.1364,0.47,0.3881,1,1,3,2011,1,1,2,1,0,0,0,0,0,0
51,3/1/2011,1,0.16,0.1364,0.47,0.2836,3,1,3,2011,1,1,2,1,0,0,0,0,0,0
52,3/1/2011,1,0.14,0.1061,0.5,0.3881,30,1,3,2011,1,1,2,1,0,0,0,0,0,0
53,3/1/2011,1,0.14,0.1364,0.5,0.194,64,1,3,2011,1,1,2,1,0,0,0,0,0,0
54,3/1/2011,1,0.14,0.1212,0.5,0.2836,154,1,3,2011,1,1,2,1,0,0,0,0,0,0
55,3/1/2011,1,0.16,0.1364,0.43,0.3881,88,1,3,2011,1,1,2,1,0,0,0,0,0,0
56,3/1/2011,1,0.18,0.1667,0.43,0.2537,44,1,3,2011,1,1,2,1,0,0,0,0,0,0
57,3/1/2011,1,0.2,0.1818,0.4,0.3284,51,1,3,2011,1,1,2,1,0,0,0,0,0,0
58,3/1/2011,1,0.22,0.2121,0.35,0.2985,61,1,3,2011,1,1,2,1,0,0,0,0,0,0
59,3/1/2011,1,0.24,0.2121,0.35,0.2836,61,1,3,2011,1,1,2,1,0,0,0,0,0,0
60,3/1/2011,1,0.26,0.2424,0.3,0.2836,77,1,3,2011,1,1,2,1,0,0,0,0,0,0
61,3/1/2011,1,0.26,0.2424,0.3,0.2537,72,1,3,2011,1,1,2,1,0,0,0,0,0,0
62,3/1/2011,1,0.26,0.2424,0.3,0.2537,76,1,3,2011,1,1,2,1,0,0,0,0,0,0
63,3/1/2011,1,0.24,0.2273,0.3,0.2239,157,1,3,2011,1,1,2,1,0,0,0,0,0,0
64,3/1/2011,1,0.24,0.2576,0.32,0.1045,157,1,3,2011,1,1,2,1,0,0,0,0,0,0
65,3/1/2011,1,0.2,0.2576,0.47,0,110,1,3,2011,1,1,2,1,0,0,0,0,0,0
66,3/1/2011,1,0.2,0.2273,0.47,0.1045,52,1,3,2011,1,1,2,1,0,0,0,0,0,0
67,3/1/2011,1,0.18,0.197,0.64,0.1343,52,1,3,2011,1,1,2,1,0,0,0,0,0,0
68,3/1/2011,1,0.14,0.1515,0.69,0.1343,20,1,3,2011,1,1,2,1,0,0,0,0,0,0
69,3/1/2011,1,0.18,0.2121,0.55,0.1045,12,1,3,2011,1,1,2,1,0,0,0,0,0,0
70,4/1/2011,1,0.16,0.1818,0.55,0.1045,5,1,4,2011,2,1,3,0,1,0,0,0,0,0
71,4/1/2011,1,0.16,0.1818,0.59,0.1045,2,1,4,2011,2,1,3,0,1,0,0,0,0,0
72,4/1/2011,1,0.14,0.1515,0.63,0.1343,1,1,4,2011,2,1,3,0,1,0,0,0,0,0
73,4/1/2011,1,0.14,0.1818,0.63,0.0896,2,1,4,2011,2,1,3,0,1,0,0,0,0,0
74,4/1/2011,1,0.12,0.1515,0.68,0.1045,4,1,4,2011,2,1,3,0,1,0,0,0,0,0
75,4/1/2011,1,0.12,0.1515,0.74,0.1045,36,1,4,2011,2,1,3,0,1,0,0,0,0,0
76,4/1/2011,1,0.12,0.1515,0.74,0.1343,94,1,4,2011,2,1,3,0,1,0,0,0,0,0
77,4/1/2011,1,0.14,0.1515,0.69,0.1642,179,1,4,2011,2,1,3,0,1,0,0,0,0,0
78,4/1/2011,1,0.16,0.1515,0.64,0.2239,100,1,4,2011,2,1,3,0,1,0,0,0,0,0
79,4/1/2011,2,0.16,0.1364,0.69,0.3284,42,1,4,2011,2,1,3,0,1,0,0,0,0,0
80,4/1/2011,1,0.22,0.2121,0.51,0.2985,57,1,4,2011,2,1,3,0,1,0,0,0,0,0
81,4/1/2011,1,0.22,0.2273,0.51,0.1642,78,1,4,2011,2,1,3,0,1,0,0,0,0,0
82,4/1/2011,1,0.24,0.2273,0.56,0.194,97,1,4,2011,2,1,3,0,1,0,0,0,0,0
83,4/1/2011,1,0.26,0.2576,0.52,0.2239,63,1,4,2011,2,1,3,0,1,0,0,0,0,0
84,4/1/2011,1,0.28,0.2727,0.52,0.2537,65,1,4,2011,2,1,3,0,1,0,0,0,0,0
85,4/1/2011,1,0.3,0.2879,0.49,0.2537,83,1,4,2011,2,1,3,0,1,0,0,0,0,0
86,4/1/2011,1,0.28,0.2727,0.48,0.2239,212,1,4,2011,2,1,3,0,1,0,0,0,0,0
87,4/1/2011,1,0.26,0.2576,0.48,0.194,182,1,4,2011,2,1,3,0,1,0,0,0,0,0
88,4/1/2011,1,0.24,0.2576,0.48,0.1045,112,1,4,2011,2,1,3,0,1,0,0,0,0,0
89,4/1/2011,1,0.24,0.2576,0.48,0.1045,54,1,4,2011,2,1,3,0,1,0,0,0,0,0
90,4/1/2011,1,0.22,0.2727,0.64,0,48,1,4,2011,2,1,3,0,1,0,0,0,0,0
91,4/1/2011,1,0.22,0.2576,0.64,0.0896,35,1,4,2011,2,1,3,0,1,0,0,0,0,0
92,4/1/2011,1,0.2,0.2273,0.69,0.0896,11,1,4,2011,2,1,3,0,1,0,0,0,0,0
93,5/1/2011,1,0.2,0.2576,0.64,0,6,1,5,2011,3,1,4,0,0,1,0,0,0,0
94,5/1/2011,1,0.16,0.197,0.74,0.0896,6,1,5,2011,3,1,4,0,0,1,0,0,0,0
95,5/1/2011,1,0.16,0.197,0.74,0.0896,2,1,5,2011,3,1,4,0,0,1,0,0,0,0
96,5/1/2011,1,0.24,0.2273,0.48,0.2239,2,1,5,2011,3,1,4,0,0,1,0,0,0,0
97,5/1/2011,1,0.22,0.2273,0.47,0.1642,3,1,5,2011,3,1,4,0,0,1,0,0,0,0
98,5/1/2011,1,0.2,0.197,0.47,0.2239,33,1,5,2011,3,1,4,0,0,1,0,0,0,0
99,5/1/2011,1,0.18,0.1818,0.43,0.194,88,1,5,2011,3,1,4,0,0,1,0,0,0,0
100,5/1/2011,1,0.2,0.1818,0.4,0.2985,195,1,5,2011,3,1,4,0,0,1,0,0,0,0
101,5/1/2011,1,0.22,0.197,0.37,0.3284,115,1,5,2011,3,1,4,0,0,1,0,0,0,0
102,5/1/2011,1,0.22,0.197,0.37,0.3284,57,1,5,2011,3,1,4,0,0,1,0,0,0,0
103,5/1/2011,1,0.26,0.2273,0.33,0.3284,46,1,5,2011,3,1,4,0,0,1,0,0,0,0
104,5/1/2011,1,0.26,0.2273,0.33,0.3284,79,1,5,2011,3,1,4,0,0,1,0,0,0,0
105,5/1/2011,1,0.28,0.2576,0.3,0.2985,71,1,5,2011,3,1,4,0,0,1,0,0,0,0
106,5/1/2011,1,0.3,0.2879,0.28,0.194,62,1,5,2011,3,1,4,0,0,1,0,0,0,0
107,5/1/2011,1,0.3,0.2879,0.28,0.194,62,1,5,2011,3,1,4,0,0,1,0,0,0,0
108,5/1/2011,1,0.3,0.3182,0.28,0.0896,89,1,5,2011,3,1,4,0,0,1,0,0,0,0
109,5/1/2011,1,0.24,0.2273,0.38,0.194,190,1,5,2011,3,1,4,0,0,1,0,0,0,0
110,5/1/2011,1,0.24,0.2424,0.38,0.1343,169,1,5,2011,3,1,4,0,0,1,0,0,0,0
111,5/1/2011,1,0.24,0.2576,0.38,0.1045,132,1,5,2011,3,1,4,0,0,1,0,0,0,0
112,5/1/2011,1,0.22,0.2273,0.47,0.1642,89,1,5,2011,3,1,4,0,0,1,0,0,0,0
113,5/1/2011,1,0.2,0.197,0.51,0.194,43,1,5,2011,3,1,4,0,0,1,0,0,0,0
114,5/1/2011,1,0.18,0.197,0.55,0.1343,42,1,5,2011,3,1,4,0,0,1,0,0,0,0
115,5/1/2011,1,0.2,0.2576,0.47,0,19,1,5,2011,3,1,4,0,0,1,0,0,0,0
116,6/1/2011,1,0.18,0.2424,0.55,0,11,1,6,2011,4,1,5,0,0,0,1,0,0,0
117,6/1/2011,1,0.16,0.2273,0.64,0,4,1,6,2011,4,1,5,0,0,0,1,0,0,0
118,6/1/2011,1,0.16,0.2273,0.64,0,2,1,6,2011,4,1,5,0,0,0,1,0,0,0
119,6/1/2011,2,0.16,0.197,0.64,0.0896,1,1,6,2011,4,1,5,0,0,0,1,0,0,0
120,6/1/2011,2,0.14,0.1818,0.69,0.0896,4,1,6,2011,4,1,5,0,0,0,1,0,0,0
121,6/1/2011,2,0.14,0.1667,0.63,0.1045,36,1,6,2011,4,1,5,0,0,0,1,0,0,0
122,6/1/2011,2,0.16,0.2273,0.59,0,95,1,6,2011,4,1,5,0,0,0,1,0,0,0
123,6/1/2011,1,0.16,0.2273,0.59,0,219,1,6,2011,4,1,5,0,0,0,1,0,0,0
124,6/1/2011,2,0.18,0.2424,0.51,0,122,1,6,2011,4,1,5,0,0,0,1,0,0,0
125,6/1/2011,1,0.2,0.2576,0.47,0,45,1,6,2011,4,1,5,0,0,0,1,0,0,0
126,6/1/2011,1,0.22,0.2576,0.44,0.0896,59,1,6,2011,4,1,5,0,0,0,1,0,0,0
127,6/1/2011,1,0.26,0.2879,0.35,0,84,1,6,2011,4,1,5,0,0,0,1,0,0,0
128,6/1/2011,1,0.26,0.2727,0.35,0.1045,67,1,6,2011,4,1,5,0,0,0,1,0,0,0
129,6/1/2011,1,0.28,0.2727,0.36,0.1642,70,1,6,2011,4,1,5,0,0,0,1,0,0,0
130,6/1/2011,1,0.28,0.2727,0.36,0,62,1,6,2011,4,1,5,0,0,0,1,0,0,0
131,6/1/2011,1,0.26,0.2576,0.38,0.1642,86,1,6,2011,4,1,5,0,0,0,1,0,0,0
132,6/1/2011,1,0.22,0.2273,0.51,0.1642,172,1,6,2011,4,1,5,0,0,0,1,0,0,0
133,6/1/2011,1,0.22,0.2273,0.51,0.1343,163,1,6,2011,4,1,5,0,0,0,1,0,0,0
134,6/1/2011,1,0.22,0.2576,0.55,0.0896,112,1,6,2011,4,1,5,0,0,0,1,0,0,0
135,6/1/2011,1,0.2,0.2121,0.51,0.1642,69,1,6,2011,4,1,5,0,0,0,1,0,0,0
136,6/1/2011,2,0.22,0.2121,0.55,0.2239,48,1,6,2011,4,1,5,0,0,0,1,0,0,0
137,6/1/2011,2,0.22,0.2121,0.51,0.2836,52,1,6,2011,4,1,5,0,0,0,1,0,0,0
138,6/1/2011,2,0.2,0.197,0.59,0.194,23,1,6,2011,4,1,5,0,0,0,1,0,0,0
139,7/1/2011,2,0.2,0.197,0.64,0.194,17,1,7,2011,5,1,6,0,0,0,0,1,0,0
140,7/1/2011,2,0.2,0.197,0.69,0.2239,7,1,7,2011,5,1,6,0,0,0,0,1,0,0
141,7/1/2011,2,0.2,0.197,0.69,0.2239,1,1,7,2011,5,1,6,0,0,0,0,1,0,0
142,7/1/2011,2,0.2,0.2121,0.69,0.1343,1,1,7,2011,5,1,6,0,0,0,0,1,0,0
143,7/1/2011,3,0.22,0.2727,0.55,0,5,1,7,2011,5,1,6,0,0,0,0,1,0,0
144,7/1/2011,2,0.2,0.2576,0.69,0,34,1,7,2011,5,1,6,0,0,0,0,1,0,0
145,7/1/2011,1,0.2,0.2121,0.69,0.1343,84,1,7,2011,5,1,6,0,0,0,0,1,0,0
146,7/1/2011,1,0.2,0.197,0.51,0.2537,210,1,7,2011,5,1,6,0,0,0,0,1,0,0
147,7/1/2011,1,0.2,0.1818,0.47,0.2985,134,1,7,2011,5,1,6,0,0,0,0,1,0,0
148,7/1/2011,1,0.22,0.197,0.37,0.3284,63,1,7,2011,5,1,6,0,0,0,0,1,0,0
149,7/1/2011,2,0.2,0.197,0.4,0.2239,67,1,7,2011,5,1,6,0,0,0,0,1,0,0
150,7/1/2011,2,0.2,0.197,0.37,0.2537,59,1,7,2011,5,1,6,0,0,0,0,1,0,0
151,7/1/2011,2,0.2,0.1818,0.37,0.2836,73,1,7,2011,5,1,6,0,0,0,0,1,0,0
152,7/1/2011,2,0.2,0.197,0.4,0.2537,50,1,7,2011,5,1,6,0,0,0,0,1,0,0
153,7/1/2011,2,0.2,0.2121,0.37,0.1642,72,1,7,2011,5,1,6,0,0,0,0,1,0,0
154,7/1/2011,2,0.2,0.2121,0.37,0.1642,87,1,7,2011,5,1,6,0,0,0,0,1,0,0
155,7/1/2011,2,0.2,0.2576,0.37,0,187,1,7,2011,5,1,6,0,0,0,0,1,0,0
156,7/1/2011,1,0.2,0.2273,0.4,0.0896,123,1,7,2011,5,1,6,0,0,0,0,1,0,0
157,7/1/2011,1,0.16,0.197,0.55,0.0896,95,1,7,2011,5,1,6,0,0,0,0,1,0,0
158,7/1/2011,1,0.18,0.2121,0.47,0.1045,51,1,7,2011,5,1,6,0,0,0,0,1,0,0
159,7/1/2011,1,0.18,0.197,0.47,0.1343,39,1,7,2011,5,1,6,0,0,0,0,1,0,0
160,7/1/2011,2,0.18,0.197,0.43,0.1642,36,1,7,2011,5,1,6,0,0,0,0,1,0,0
161,7/1/2011,2,0.18,0.197,0.51,0.1642,15,1,7,2011,5,1,6,0,0,0,0,1,0,0
162,8/1/2011,2,0.18,0.197,0.51,0.1642,25,1,8,2011,6,1,7,0,0,0,0,0,1,1
163,8/1/2011,2,0.18,0.2121,0.55,0.0896,16,1,8,2011,6,1,7,0,0,0,0,0,1,1
164,8/1/2011,2,0.18,0.2424,0.55,0,16,1,8,2011,6,1,7,0,0,0,0,0,1,1
165,8/1/2011,3,0.18,0.197,0.55,0.1642,7,1,8,2011,6,1,7,0,0,0,0,0,1,1
166,8/1/2011,3,0.18,0.197,0.55,0.1642,1,1,8,2011,6,1,7,0,0,0,0,0,1,1
167,8/1/2011,2,0.16,0.1667,0.74,0.1642,5,1,8,2011,6,1,7,0,0,0,0,0,1,1
168,8/1/2011,2,0.16,0.1667,0.74,0.1642,2,1,8,2011,6,1,7,0,0,0,0,0,1,1
169,8/1/2011,2,0.16,0.1818,0.74,0.1045,9,1,8,2011,6,1,7,0,0,0,0,0,1,1
170,8/1/2011,3,0.16,0.1818,0.93,0.1045,15,1,8,2011,6,1,7,0,0,0,0,0,1,1
171,8/1/2011,3,0.16,0.1818,0.93,0.1045,20,1,8,2011,6,1,7,0,0,0,0,0,1,1
172,8/1/2011,2,0.18,0.197,0.8,0.1642,61,1,8,2011,6,1,7,0,0,0,0,0,1,1
173,8/1/2011,2,0.2,0.1818,0.69,0.3881,62,1,8,2011,6,1,7,0,0,0,0,0,1,1
174,8/1/2011,2,0.2,0.1818,0.59,0.3582,98,1,8,2011,6,1,7,0,0,0,0,0,1,1
175,8/1/2011,1,0.2,0.1818,0.44,0.3284,102,1,8,2011,6,1,7,0,0,0,0,0,1,1
176,8/1/2011,1,0.2,0.1667,0.32,0.4925,95,1,8,2011,6,1,7,0,0,0,0,0,1,1
177,8/1/2011,1,0.2,0.1667,0.32,0.4478,74,1,8,2011,6,1,7,0,0,0,0,0,1,1
178,8/1/2011,1,0.18,0.1364,0.29,0.4478,76,1,8,2011,6,1,7,0,0,0,0,0,1,1
179,8/1/2011,1,0.16,0.1212,0.37,0.5522,69,1,8,2011,6,1,7,0,0,0,0,0,1,1
180,8/1/2011,1,0.14,0.1212,0.39,0.2985,55,1,8,2011,6,1,7,0,0,0,0,0,1,1
181,8/1/2011,1,0.14,0.1212,0.36,0.2537,30,1,8,2011,6,1,7,0,0,0,0,0,1,1
182,8/1/2011,1,0.12,0.1212,0.36,0.2537,28,1,8,2011,6,1,7,0,0,0,0,0,1,1
183,8/1/2011,1,0.12,0.1061,0.39,0.3582,37,1,8,2011,6,1,7,0,0,0,0,0,1,1
184,8/1/2011,1,0.12,0.1061,0.36,0.3881,34,1,8,2011,6,1,7,0,0,0,0,0,1,1
185,8/1/2011,1,0.1,0.0606,0.39,0.4478,22,1,8,2011,6,1,7,0,0,0,0,0,1,1
186,9/1/2011,1,0.1,0.0758,0.42,0.3881,25,1,9,2011,7,1,8,0,0,0,0,0,0,1
187,9/1/2011,1,0.1,0.0606,0.42,0.4627,12,1,9,2011,7,1,8,0,0,0,0,0,0,1
188,9/1/2011,1,0.1,0.0606,0.46,0.4627,11,1,9,2011,7,1,8,0,0,0,0,0,0,1
189,9/1/2011,1,0.1,0.0758,0.46,0.4179,4,1,9,2011,7,1,8,0,0,0,0,0,0,1
190,9/1/2011,1,0.08,0.0909,0.53,0.194,1,1,9,2011,7,1,8,0,0,0,0,0,0,1
191,9/1/2011,1,0.08,0.0909,0.53,0.194,1,1,9,2011,7,1,8,0,0,0,0,0,0,1
192,9/1/2011,1,0.1,0.0909,0.49,0.2836,1,1,9,2011,7,1,8,0,0,0,0,0,0,1
193,9/1/2011,1,0.08,0.0909,0.53,0.194,6,1,9,2011,7,1,8,0,0,0,0,0,0,1
194,9/1/2011,1,0.1,0.0909,0.49,0.2836,10,1,9,2011,7,1,8,0,0,0,0,0,0,1
195,9/1/2011,1,0.12,0.0758,0.46,0.5224,19,1,9,2011,7,1,8,0,0,0,0,0,0,1
196,9/1/2011,1,0.14,0.1061,0.43,0.3881,49,1,9,2011,7,1,8,0,0,0,0,0,0,1
197,9/1/2011,1,0.16,0.1212,0.4,0.5224,49,1,9,2011,7,1,8,0,0,0,0,0,0,1
198,9/1/2011,1,0.18,0.1364,0.37,0.4478,83,1,9,2011,7,1,8,0,0,0,0,0,0,1
199,9/1/2011,1,0.2,0.1667,0.34,0.4478,75,1,9,2011,7,1,8,0,0,0,0,0,0,1
200,9/1/2011,1,0.22,0.1818,0.32,0.4627,72,1,9,2011,7,1,8,0,0,0,0,0,0,1
201,9/1/2011,1,0.22,0.197,0.35,0.3582,82,1,9,2011,7,1,8,0,0,0,0,0,0,1
202,9/1/2011,1,0.2,0.1667,0.34,0.4478,92,1,9,2011,7,1,8,0,0,0,0,0,0,1
203,9/1/2011,1,0.18,0.1515,0.37,0.3881,62,1,9,2011,7,1,8,0,0,0,0,0,0,1
204,9/1/2011,1,0.16,0.1364,0.4,0.3284,48,1,9,2011,7,1,8,0,0,0,0,0,0,1
205,9/1/2011,1,0.16,0.1364,0.43,0.3284,41,1,9,2011,7,1,8,0,0,0,0,0,0,1
206,9/1/2011,1,0.14,0.1212,0.46,0.2537,38,1,9,2011,7,1,8,0,0,0,0,0,0,1
207,9/1/2011,1,0.14,0.1061,0.46,0.4179,20,1,9,2011,7,1,8,0,0,0,0,0,0,1
208,9/1/2011,1,0.14,0.1212,0.46,0.2985,15,1,9,2011,7,1,8,0,0,0,0,0,0,1
209,9/1/2011,1,0.12,0.1364,0.5,0.194,6,1,9,2011,7,1,8,0,0,0,0,0,0,1
210,10/1/2011,1,0.12,0.1212,0.5,0.2836,5,1,10,2011,1,1,9,1,0,0,0,0,0,0
211,10/1/2011,1,0.12,0.1212,0.5,0.2836,1,1,10,2011,1,1,9,1,0,0,0,0,0,0
212,10/1/2011,1,0.12,0.1212,0.5,0.2239,3,1,10,2011,1,1,9,1,0,0,0,0,0,0
213,10/1/2011,1,0.12,0.1212,0.5,0.2239,1,1,10,2011,1,1,9,1,0,0,0,0,0,0
214,10/1/2011,1,0.1,0.1212,0.54,0.1343,3,1,10,2011,1,1,9,1,0,0,0,0,0,0
215,10/1/2011,1,0.1,0.1061,0.54,0.2537,3,1,10,2011,1,1,9,1,0,0,0,0,0,0
216,10/1/2011,1,0.12,0.1212,0.5,0.2836,31,1,10,2011,1,1,9,1,0,0,0,0,0,0
217,10/1/2011,1,0.12,0.1212,0.5,0.2239,77,1,10,2011,1,1,9,1,0,0,0,0,0,0
218,10/1/2011,2,0.12,0.1212,0.5,0.2836,188,1,10,2011,1,1,9,1,0,0,0,0,0,0
219,10/1/2011,2,0.14,0.1212,0.5,0.2537,94,1,10,2011,1,1,9,1,0,0,0,0,0,0
220,10/1/2011,2,0.14,0.1212,0.5,0.2985,31,1,10,2011,1,1,9,1,0,0,0,0,0,0
221,10/1/2011,2,0.16,0.1364,0.47,0.2836,30,1,10,2011,1,1,9,1,0,0,0,0,0,0
222,10/1/2011,2,0.2,0.1818,0.4,0.2836,52,1,10,2011,1,1,9,1,0,0,0,0,0,0
223,10/1/2011,2,0.2,0.1818,0.4,0.2836,54,1,10,2011,1,1,9,1,0,0,0,0,0,0
224,10/1/2011,2,0.2,0.197,0.4,0.2239,47,1,10,2011,1,1,9,1,0,0,0,0,0,0
225,10/1/2011,2,0.2,0.197,0.4,0.2239,45,1,10,2011,1,1,9,1,0,0,0,0,0,0
226,10/1/2011,1,0.2,0.2121,0.4,0.1343,74,1,10,2011,1,1,9,1,0,0,0,0,0,0
227,10/1/2011,1,0.2,0.2273,0.4,0.1045,178,1,10,2011,1,1,9,1,0,0,0,0,0,0
228,10/1/2011,1,0.2,0.197,0.4,0.2239,155,1,10,2011,1,1,9,1,0,0,0,0,0,0
229,10/1/2011,1,0.16,0.1667,0.47,0.1642,95,1,10,2011,1,1,9,1,0,0,0,0,0,0
230,10/1/2011,1,0.16,0.1667,0.5,0.1642,74,1,10,2011,1,1,9,1,0,0,0,0,0,0
231,10/1/2011,1,0.14,0.1364,0.59,0.194,38,1,10,2011,1,1,9,1,0,0,0,0,0,0
232,10/1/2011,1,0.14,0.1515,0.59,0.1642,24,1,10,2011,1,1,9,1,0,0,0,0,0,0
233,10/1/2011,1,0.14,0.1515,0.59,0.1642,18,1,10,2011,1,1,9,1,0,0,0,0,0,0
234,11/1/2011,1,0.14,0.1667,0.59,0.1045,12,1,11,2011,2,1,10,0,1,0,0,0,0,0
235,11/1/2011,1,0.14,0.1515,0.59,0.1642,3,1,11,2011,2,1,10,0,1,0,0,0,0,0
236,11/1/2011,2,0.16,0.1515,0.55,0.194,3,1,11,2011,2,1,10,0,1,0,0,0,0,0
237,11/1/2011,2,0.16,0.1818,0.55,0.1343,6,1,11,2011,2,1,10,0,1,0,0,0,0,0
238,11/1/2011,2,0.16,0.1818,0.55,0.1343,27,1,11,2011,2,1,10,0,1,0,0,0,0,0
239,11/1/2011,2,0.16,0.2273,0.55,0,99,1,11,2011,2,1,10,0,1,0,0,0,0,0
240,11/1/2011,2,0.18,0.2121,0.51,0.0896,217,1,11,2011,2,1,10,0,1,0,0,0,0,0
